Dates,SMB,HML
197801,2.28,3.38
197802,3.59,0.81
197803,3.44,1.15
197804,0.36,-3.54
197805,4.53,-0.55
197806,1.74,0.6
197807,0.29,-1
197808,5.06,-0.66
197809,-0.49,1.88
197810,-9.89,1.26
197811,3.06,-2.08
197812,1.19,-2.14
197901,3.55,2.19
197902,0.44,1.17
197903,3.2,-0.68
197904,2.17,1.12
197905,0.21,1.32
197906,1.13,1.42
197907,1.28,1.79
197908,1.98,-1.58
197909,-0.26,-0.94
197910,-3.38,-1.83
197911,2.81,-3.21
197912,4.13,-2.13
198001,1.62,1.85
198002,-1.86,0.59
198003,-6.7,-0.96
198004,1.05,1.03
198005,2.05,0.38
198006,1.66,-0.8
198007,4.1,-6.29
198008,3.9,-2.46
198009,0.96,-4.61
198010,2.39,-2.93
198011,-3.27,-8.11
198012,-0.28,2.8
198101,2.91,6.74
198102,-0.47,0.97
198103,3.34,0.61
198104,4.5,2.28
198105,1.94,-0.43
198106,-0.83,5.14
198107,-2.07,-0.61
198108,-1.95,4.71
198109,-2.68,5.11
198110,2.13,-4.09
198111,-1.09,1.91
198112,1.18,0.79
198201,-1.25,3.19
198202,0.46,6.09
198203,-0.19,3.76
198204,1.64,-3.08
198205,0.17,1.78
198206,-0.43,1.56
198207,0.91,0.07
198208,-4.28,1.09
198209,2.87,0.23
198210,2.38,-3.62
198211,4.63,-1.8
198212,-0.31,-0.06
198301,2.82,-0.72
198302,3.18,0.66
198303,1.75,2.06
198304,0.46,0.43
198305,6.2,-1.4
198306,0.93,-3.89
198307,1.5,5.54
198308,-4.29,5.59
198309,0.61,0.99
198310,-3.55,4.96
198311,2.02,-0.73
198312,-0.25,1.75
198401,-0.35,7.48
198402,-1.68,3.41
198403,0.1,0.53
198404,-1.16,1.19
198405,0.07,0.26
198406,-0.24,-2.75
198407,-2.2,0.39
198408,-0.27,-1.74
198409,0.15,5.25
198410,-1.11,0.59
198411,-0.72,3.87
198412,-0.66,-0.29
198501,3.27,-5.21
198502,0.71,-0.24
198503,-1.07,4.01
198504,0.09,3.6
198505,-2.3,-0.98
198506,0.48,0.38
198507,2.83,-1.62
198508,-0.3,2.34
198509,-1.62,1.21
198510,-1.5,0.77
198511,0.19,-2.91
198512,-0.53,-1.46
198601,1.15,0.46
198602,-0.57,-0.63
198603,-0.54,-0.39
198604,2.76,-2.81
198605,-1.36,-0.14
198606,-0.93,1.2
198607,-3.43,4.66
198608,-4.16,3.54
198609,2.4,3.23
198610,-2.53,-1.42
198611,-1.87,-0.02
198612,0.19,0.36
198701,-1.89,-3.18
198702,3.45,-5.86
198703,0.5,1.66
198704,-1.72,-0.36
198705,-0.53,0.22
198706,-2.03,1.13
198707,-0.57,0.94
198708,-0.85,-0.98
198709,0.58,0.26
198710,-8.27,4.18
198711,2.68,3.14
198712,0.03,-4.42
